,cnyesId,nav,forSale,change,fundYesId,investmentArea,categoryAbbr,prevPrice,displayNameLocal,priceDate,inceptionDate,lastUpdate,classCurrencyLocal,changePercent,return1Month,displayNameLocalWithKwd,forSaleUrl,fundTags,portfolio_errors
1120,A09007,40.96,1,-0.54,A09007,台灣,台灣股票,41.5,統一中小基金,1614268800,831657600.0,1614268800,新台幣,-1.3,4.83747,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A09007,[],"{""message"":""Token not found"",""status_code"":400}"
1121,A09010,74.56,1,-0.89,A09010,台灣,產業股票 - 基礎建設,75.45,統一經建基金,1614268800,877536000.0,1614268800,新台幣,-1.18,8.94214,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A09010,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星５星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1122,A09015,51.7,1,-1.17,A09015,台灣,台灣股票,52.87,統一大滿貫基金-A類型,1614268800,955296000.0,1614268800,新台幣,-2.21,3.25544,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A09015,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1123,A20012,67.22,0,-1.81,,台灣,台灣股票,69.03,日盛新台商基金,1614268800,1052668800.0,1614268800,新台幣,-2.62,1.75598,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1124,A47015,72.55,0,-1.86,,台灣,台灣股票,74.41,台新中國通基金,1614268800,1047484800.0,1614268800,新台幣,-2.5,5.89695,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1125,A40002,11.7992,0,0.0001,,台灣,貨幣市場 - 新台幣,11.7991,德銀遠東DWS台灣貨幣市場基金,1614268800,1006876800.0,1614268800,新台幣,0.0,0.02543,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1126,A13017,40.507,1,-1.24,A13017,台灣,台灣股票,41.747,元大台灣加權股價指數基金,1614268800,1095350400.0,1614268800,新台幣,-2.97,1.81475,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A13017,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1127,A16016,35.8973,0,-0.536,,台灣,股債混合(積極型),36.4333,群益安家基金,1614268800,1100793600.0,1614268800,新台幣,-1.47,1.70849,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1128,A47002,11.1829,0,0.0,,台灣,貨幣市場 - 新台幣,11.1829,台新真吉利貨幣市場基金,1614268800,1101916800.0,1614268800,新台幣,0.0,0.01073,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1129,A37014,23.22,1,-0.7,A37014,台灣,台灣股票,23.92,國泰小龍基金-新台幣,1614268800,763142400.0,1614268800,新台幣,-2.93,2.24571,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A37014,[],"{""message"":""Token not found"",""status_code"":400}"
1130,A37001,40.13,1,-0.97,A37001,台灣,台灣股票,41.1,國泰國泰基金-新台幣A,1614268800,961689600.0,1614268800,新台幣,-2.36,4.80543,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A37001,[],"{""message"":""Token not found"",""status_code"":400}"
1131,A06004,43.48,0,-1.12,,台灣,台灣股票,44.6,景順潛力基金,1614268800,807897600.0,1614268800,新台幣,-2.51,0.13819,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1132,A08007,15.7793,0,-0.004,,台灣,其他債券,15.7833,保德信瑞騰基金,1614268800,865353600.0,1614268800,新台幣,-0.03,-0.07156,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1133,A14012,38.76,1,-1.16,A14012,台灣,台灣股票,39.92,新光店頭基金,1614268800,909504000.0,1614268800,新台幣,-2.91,5.64186,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A14012,"[{'promoteName': '新光上架定期定額0手續費優惠', 'promoteDescription': '定期定額0手續費至2021/02/28，2021/03/01開始手續費率0.3%', 'startAt': 1604937600, 'endAt': 32503564800, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}]","{""message"":""Token not found"",""status_code"":400}"
1134,A32007,37.38,1,-0.85,A32007,台灣,台灣股票,38.23,野村鴻運基金,1614268800,570816000.0,1614268800,新台幣,-2.22,5.35513,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A32007,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1135,A06010,52.93,0,-1.43,,台灣,產業股票 - 科技,54.36,景順台灣科技基金,1614268800,903888000.0,1614268800,新台幣,-2.63,2.22093,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1136,A23002,14.5475,0,0.0,,台灣,貨幣市場 - 新台幣,14.5475,復華貨幣市場基金,1614268800,896284800.0,1614268800,新台幣,0.0,0.01237,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1137,A10005,112.59,0,-3.33,,台灣,台灣股票,115.92,富邦長紅基金,1614268800,793814400.0,1614268800,新台幣,-2.87,3.67403,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1138,A16010,140.93,1,-2.58,A16010,台灣,台灣股票,143.51,群益店頭市場基金,1614268800,855763200.0,1614268800,新台幣,-1.8,4.62509,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A16010,"[{'promoteName': '群益基金0申購手續費優惠', 'promoteDescription': '群益全系列基金2021/02/01 ~ 2021/04/30單筆及定期定額扣款0手續費', 'startAt': 1612108800, 'endAt': 1619712000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}]","{""message"":""Token not found"",""status_code"":400}"
1139,A37003,76.09,1,-1.95,A37003,台灣,台灣股票,78.04,國泰中小成長基金-新台幣,1614268800,979056000.0,1614268800,新台幣,-2.5,4.06182,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A37003,[],"{""message"":""Token not found"",""status_code"":400}"
1140,A10004,82.77,0,-2.21,,台灣,台灣股票,84.98,富邦精準基金,1614268800,783619200.0,1614268800,新台幣,-2.6,3.11449,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1141,A23008,112.41,1,-2.61,A23008,台灣,台灣股票,115.02,復華中小精選基金,1614268800,986227200.0,1614268800,新台幣,-2.27,6.17739,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A23008,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1142,A20007,31.29,0,-0.98,,台灣,產業股票 - 科技,32.27,日盛高科技基金,1614268800,956592000.0,1614268800,新台幣,-3.04,1.19664,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1143,A14007,15.6129,0,0.0001,,台灣,貨幣市場 - 新台幣,15.6128,新光吉星貨幣市場基金,1614268800,841680000.0,1614268800,新台幣,0.0,0.0205,0,,[],"{""message"":""Token not found"",""status_code"":400}"
